# pressure   temperature
# Pa         K
1.0000000000e+07 2978.627640
7.9432823500e+06 2826.655496
6.3095734400e+06 2678.444424
5.0118723400e+06 2534.454972
3.9810717100e+06 2395.181523
3.1622776600e+06 2261.036755
2.5118864300e+06 2132.361896
1.9952623100e+06 2009.314510
1.5848931900e+06 1892.053841
1.2589254100e+06 1780.632641
1.0000000000e+06 1675.178688
7.9432823500e+05 1581.814536
6.3095734400e+05 1498.152111
5.0118723400e+05 1416.319674
3.9810717100e+05 1338.626663
3.1622776600e+05 1260.721514
2.5118864300e+05 1181.729096
1.9952623100e+05 1106.711782
1.5848931900e+05 1035.767074
1.2589254100e+05 968.764037
1.0000000000e+05 905.675265
7.9432823500e+04 846.333039
6.3095734400e+04 790.641615
5.0118723400e+04 738.428163
3.9810717100e+04 689.555188
3.1622776600e+04 643.849230
2.5118864300e+04 601.159607
1.9952623100e+04 561.294021
1.5848931900e+04 524.110269
1.2589254100e+04 489.405728
1.0000000000e+04 457.046856
7.9432823500e+03 426.835144
6.3095734400e+03 403.327571
5.0118723400e+03 382.448448
3.9810717100e+03 364.449594
3.1622776600e+03 349.560457
2.5118864300e+03 334.679029
1.9952623100e+03 321.577136
1.5848931900e+03 307.796819
1.2589254100e+03 297.202757
1.0000000000e+03 285.060678
7.9432823500e+02 273.733002
6.3095734400e+02 262.688209
5.0118723400e+02 252.192306
3.9810717100e+02 240.322866
3.1622776600e+02 227.878271
2.5118864300e+02 215.095886
1.9952623100e+02 202.533744
1.5848931900e+02 196.357247
1.2589254100e+02 191.920826
1.0000000000e+02 189.174776
7.9432823500e+01 187.058080
6.3095734400e+01 183.407158
5.0118723400e+01 179.142387
3.9810717100e+01 176.704381
3.1622776600e+01 174.623416
2.5118864300e+01 173.324574
1.9952623100e+01 173.308541
1.5848931900e+01 173.584105
1.2589254100e+01 173.698932
1.0000000000e+01 174.133472
7.9432823500e+00 174.749447
6.3095734400e+00 175.535293
5.0118723400e+00 176.455278
3.9810717100e+00 177.567041
3.1622776600e+00 179.475755
2.5118864300e+00 181.555635
1.9952623100e+00 183.045960
1.5848931900e+00 185.677439
1.2589254100e+00 189.668692
1.0000000000e+00 188.961666
7.9432823500e-01 195.045427
6.3095734400e-01 196.293989
5.0118723400e-01 199.091772
3.9810717100e-01 204.891920
3.1622776600e-01 210.005617
2.5118864300e-01 214.024440
1.9952623100e-01 225.957674
1.5848931900e-01 239.850399
1.2589254100e-01 254.908954
1.0000000000e-01 270.818515
